Name,Position,Department
Shannon Lee Dawdy,Has Tenure,Anthropology
Srikanth Reddy,Has Tenure,English
Timothy Campbell,Has Tenure,English
Jennifer Mosley,Has Tenure,Social Service Administration
Daniela del Gaudio,Has Tenure,Human Genetics
Ada Holly Shissler,Has Tenure,Near East Languages and Civilizations
Allyson Nadia Field,Has Tenure,Cinema and Media Studies
Rochona Majumdar,Has Tenure,South Asian Languages and Literatures
Gerald N Rosenberg,Has Tenure,Political Science
Deborah Nelson,Has Tenure,English
Mark Miller,Has Tenure,English
James Lastra,Has Tenure,Cinema and Media Studies
Dan Arnold,Has Tenure,Divinity
Lawrence Rothfield,Has Tenure,English
Martha Ward,Has Tenure,Art History
Anton Ford,Has Tenure,Philosophy
Kristine A. Culp,Has Tenure,Divinity
Katherine Taylor,Has Tenure,Art History
Karlos Arregi,Has Tenure,Linguistics
Waldo E. Johnson Jr. ,Has Tenure,Social Service Administration
Amy Dahlstrom,Has Tenure,Linguistics
Micere Keels,Has Tenure,Comparative Human Development
Florian Klinger,Has Tenure,Germanic Studies
Kyeong-Hee Choi,Has Tenure,East Asian Languages and Civilizations
John Novembre,Has Tenure,Human Genetics
David Wray,Has Tenure,Classics
Julie Saville,Has Tenure,History
Anne Rogers,Has Tenure,Computer Science
Monika Nalepa,Has Tenure,Political Science
Dan Slater,Has Tenure,Political Science
Aden Kumler,Has Tenure,Art History
Jennifer Wild,Has Tenure,Cinema and Media Studies
Robert Bird,Has Tenure,Slavic
Sarah Hammerschlag,Has Tenure,Divinity
Jennifer Scappettone,Has Tenure,English
Agnes Lugo-Ortiz,Has Tenure,Romance Languages and Literatures
Emily Lynn Osborn,Has Tenure,History
John Schneider,Has Tenure,Medicine
Andres Gelrud,Has Tenure,Medicine
Gautham Reddy,Has Tenure,Medicine
Andrew Aronsohn,Has Tenure,Medicine
Adam Green,Has Tenure,History
Hsiao-Wen Chen,Has Tenure,Physics
Monica E. Peek,Has Tenure,Medicine
Daniel Holz,Has Tenure,Physics
Lisa Ruddick,Has Tenure,English
William Irvine,Has Tenure,Physics
Andrei Pop,Has Tenure,Social Thought
Kristen Jacobson,Has Tenure,Psychiatry
Claudia Brittenham,Has Tenure,Art History
Paul Cheney,Has Tenure,History
Wei-Cheng Lin,Has Tenure,Art History
Persis Berlekamp,Has Tenure,Art History
Paul Copp,Has Tenure,East Asian Languages and Civilizations
Susan L. Burns,Has Tenure,History
Craig Futterman,Tenure Track,Law
Mark J. Heyrman ,Tenure Track,Law
Randall Schmidt,Tenure Track,Law
Jeff Leslie,Tenure Track,Law
Kenneth W. Warren,Has Tenure,English
Bruce Lincoln,Has Tenure,History
Michael C. Dawson,Has Tenure,Political Science
Salikoko S. Mufwene,Has Tenure,Not Listed
Marshall Sahlins,Has Tenure,Anthropology
William Sewell,Has Tenure,Political Science
Eric Santner,Has Tenure,Germanic Studies
Susan Gal,Has Tenure,Anthropology
Richard Neer,Has Tenure,Art History
Jonathan M. Hall,Has Tenure,History
Rebecca West,Has Tenure,Cinema and Media Studies
Janet H. Johnson,Has Tenure,Near East Languages and Civilizations
W. J. T. Mitchell,Has Tenure,English
William Schweiker,Has Tenure,Divinity
Alan L. Kolata,Has Tenure,Anthropology
Norma Field,Has Tenure,East Asian Languages and Civilizations
Ramon Gutierrez,Has Tenure,History
Francoise Meltzer,Has Tenure,Comparative Literature
Godfrey Getz,Has Tenure,Medicine
Elizabeth Helsinger,Has Tenure,Not Listed
